regex,nl
([0-9]).*(([A-Z])&([AEIOUaeiou])&(.)).*,"lines with a number before capital letter, vowel, and character"
((([a-z])(.*))|(.))*,lines starting in zero or more of a lower-case letter or character
([AEIOUaeiou].*..*)&(([0-9])(.*)),lines with a vowel before a character starting in a number
~(([A-Za-z].*dog.*)+),lines without a letter before string 'dog'
([A-Za-z]).*(~([0-9])).*,lines with a letter not coming before a number
(([a-z])&(.)).*(dog).*,Items with a small leter and character preceding 'dog'.
"(dog.*truck.*){2,}",lines with the string 'dog' preceding the string 'truck' at least 2 times
\b(~([A-Za-z]))&(dog)\b,Lines with words that don't have letter and string 'dog'
~(((dog)|([0-9])).*([a-z]).*),lines with no 'dog' or number before a lower-case letter
((.)&(dog)&([A-Za-z])).*([0-9]).*,"lines having character, string 'dog', and letter before number"
((.*)([a-z]))&(([A-Za-z])*),"lines that end with a lower-case letter and a letter, zero times or more"
\b(([A-Z])*)&(dog)\b,lines with words and zero or more capital letters with string 'dog'
.*(.)&([AEIOUaeiou]).*,Items with a vowel and a character.
((dog)&(truck)&(.)).*([AEIOUaeiou]).*,"Items with 'dog', 'truck', and a character preceding a vowel."
([A-Z]).*(dog.*truck.*).*,Items with an uppercase letter preceding 'dog' preceding 'truck'.
\b([0-9])|([a-z])|([A-Z])\b,"lines with words with either a number, a lower-case letter, or a capital letter in them"
(.*..*)+,lines that contain at least one character
(([0-9])|([a-z]))(.*),lines which are starting with a number or a lower-case letter
.*([A-Za-z])&(dog)&(.).*,"lines containing a letter, 'dog', a character."
(\b([A-Z])|(.)\b).*(dog).*,lines with words with capital letter or character before string 'dog'
~(\b(.).*(dog).*\b),lines without words containing a character preceding the string 'dog'
"(([0-9]){4,}).*([A-Za-z]).*",lines with a number 4 times before a letter
"([0-9].*[a-z].*){2,}","lines with number followed by lower-case letter, 2 or more times"
"((([A-Z]){5,})|(dog))(.*)",lines that start with 5 or more capital letters or the string 'dog'
([A-Z].*dog.*)&((.*)([A-Za-z])),lines with a capital letter followed by the string 'dog' and which are ending with a letter
(([AEIOUaeiou])|(dog)|([A-Za-z])).*([A-Z]).*,"lines containing either a vowel, the string 'dog', or a letter, then followed by a capital letter"
"(([a-z])|([A-Z])){4,}",lines with 4 or more of a lower-case or capital letter
(([a-z])|(dog)|([0-9])).*([A-Z]).*,"lines having either a lower-case letter, the string 'dog', or a number before a capital letter in them"
(([a-z])|(dog)|([0-9])).*([A-Z]).*,"lines containing a lower-case letter and the word dog, followed by a number, then a capital letter"
([A-Za-z]).*(dog).*,lines with the string 'dog' after a letter
~(([0-9])&(dog)&([A-Za-z])),"lines not having the string ""dog"", and not a letter"
.*([0-9])&([a-z])&([AEIOUaeiou]).*,"Items with a vowel, a small letter, and a number."
(..*[AEIOUaeiou].*)+,lines with character followed by vowel at least once
"((dog){2,})(.*)",lines stating with 2 or more of the string 'dog'
(([A-Z])|(.))+,lines that have at least one occurrence of either a capital letter or a character
([a-z]).*(.*[A-Z].*).*,lines containing a lower-case letter preceding a capital letter
([a-z]).*(.*[AEIOUaeiou].*).*,lines with a lower-case letter before containing a vowel in them
.*\b([AEIOUaeiou])|(.)|([0-9])\b.*,"lines containing words with either vowel, character, or number"
"([AEIOUaeiou].*dog.*){2,}",lines with a vowel then 'dog' 2 times
\b((dog).*([0-9]).*)|(truck)\b,lines with words with the string 'dog' before a number or the string 'truck' in them
".*(.*)((dog){6,}).*","lines which are containing ending with the string 'dog', 6 or more times"
(dog).*((.*)(([A-Z])+)).*,lines with the string 'dog' before ending with a capital letter at least once in them
((([A-Z])|(dog))(.*))+,lines starting in a capital letter or string 'dog'
\b([AEIOUaeiou])&([A-Z])&(.)\b,"Items with words containing a character, an upper case letter, and a vowel."
(([AEIOUaeiou])|([0-9]))+,Items with a numeral or a vowel at least one time.
"((.){6,}).*([a-z]).*",lines with 6 characters or more before a lower-case letter
"(([0-9]){7,}).*([a-z]).*",lines containing a lower-case letter after a number 7 or more times
(([0-9])*)|((dog).*(.).*),"Lines with a number, zero or more times or the string 'dog' before a character"
"(([A-Za-z])|([0-9])){7,}",lines with 7 or more of a letter or number
\b(dog)&([A-Za-z])&(truck)\b,"lines with words with string 'dog', letter, and string 'truck'"
((.).*([AEIOUaeiou]).*)|(([A-Z])(.*)),lines with character before vowel or starting with a capital
\b([0-9])&([a-z])&(.)\b,"lines with words and a number, lower-case letter, and character"
"\b([A-Z]){4,}\b","lines with words with capital letter, 4 or more times"
"\b(.*[A-Za-z].*){7,}\b",lines with a letter 7 times
\b([a-z])|(.)|([A-Za-z])\b,"Lines with a letter, or a character"
\b(([a-z])&(dog)&([A-Z]))&([0-9])\b,"lines with words with a lower-case letter, string 'dog', capital letter, and number"
(.*[A-Za-z].*)|((.*)(.)),lines without a letter and ending in a character
.*(dog)|([AEIOUaeiou])|(.).*,lines which have either the string 'dog' a vowel or a character.
([AEIOUaeiou]).*(([a-z])|(dog)).*,lines with a vowel before lower-case letter or string 'dog'
(([A-Z])&(.)).*([a-z]).*,lines with with capital letter plus Character before low case
"~(.*([a-z]){7,}.*)","Items without a small letter, at least seven times."
.*([A-Z])|(dog)|([A-Za-z]).*,"lines with a capital letter, the string 'dog', or a letter"
(.*(dog)&(truck).*)*,lines with zero or more of the strings 'dog' and 'truck'
.*([A-Za-z])&(dog)&([0-9]).*,"lines which are containing a letter, the string 'dog', and a number"
(..*[A-Za-z].*).*([a-z]).*,"lines with a character, a letter, and a lowe-case letter, in order"
~(.*([A-Z])|(dog)|(.).*),"lines without a capital letter, string 'dog', or character"
((dog)+).*([a-z]).*,lines with string 'dog' before lower-case letter
([AEIOUaeiou]).*(([a-z])&([0-9])&(.)).*,"lines with a vowel before lower-case letter, number, and character"
(dog).*(([A-Za-z])&(.)&([A-Z])).*,"lines with string 'dog' before letter, character, and a capital"
.*\b(dog)|(truck)\b.*,lines containing words with the string 'dog' or the string 'truck' in them
((dog)+).*(..*truck.*).*,lines with the string 'dog' before a character then string 'truck'
(.*[AEIOUaeiou].*[a-z].*.*)*,lines with zero or more of a vowel before a lower-case letter
(([a-z])+)|([A-Z].*dog.*),lines with a lower-case letter or with capital letter before string 'dog'
~((dog)|([A-Za-z])|([a-z])),"lines without the string 'dog', a lower-case letter, or a  letter"
(dog).*((truck)&(.)).*,lines with the string 'truck' and a character preceded by the string 'dog'
"((.)|(dog)){5,}",lines containing character or the string 'dog' at least 5 times
~(([A-Z])|([AEIOUaeiou])|(.)),lines with no capital letters
"(.*[A-Z].*){6,}",lines containing 6 more more uppercase letters
.*([a-z])|(.)|(dog).*,"lines containing a lower-case letter, a character, or 'dog'"
\b(.)&(dog)&([A-Z])\b,"lines containing a character, the string 'dog', and a capital letter"
\b(([A-Z])*).*([0-9]).*\b,lines with words and a capital letter before a number
((dog)|([AEIOUaeiou])|(truck)).*([A-Za-z]).*,"lines having either string 'dog', vowel, or string 'truck' before a letter"
"(\b.*dog.*\b){5,}",lines with words that contain 5 or more of the string 'dog'
(.*)(\b[A-Za-z].*[a-z].*\b),lines ending in words and a letter before lower-case letter
([a-z].*dog.*)&((truck)|([A-Z])),lines with lower-case letter before string 'dog' with string 'truck' or capital letter
\b(([A-Z]).*([AEIOUaeiou]).*)&(.)\b,lines with words and a capital letter before vowel and character
(dog).*((truck)|([A-Za-z])|(ring)).*,lines with the string 'dog' before string 'truck' or 'ring' or a letter
((.)&([A-Za-z])).*([a-z]).*,lines with a character and letter before a lower-case letter
"(([A-Za-z])|([0-9])){5,}",lines with 5 or more of a letter or number
~(([A-Z])&([AEIOUaeiou])&(dog)),"lines without a capital letter, a vowel, or the string 'dog'"
(([A-Z])*)|((dog).*(.).*),lines with or without a capital letter or the string 'dog' followed by a character
\b(dog)|([AEIOUaeiou])|([A-Za-z])\b,"Items with 'dog', vowel, or letter."
((dog)|([A-Za-z])|(truck)).*([a-z]).*,"Lines with with either the strings ""dog,"" ""truck,"" or a letter preceding a lower-case letter."
((dog)|([A-Za-z])|(truck)).*([a-z]).*,lines with the string 'dog' or 'truck' or a letter before a lower-case letter
~(([a-z])|([A-Z])|([A-Za-z])),"lines without a capital letter, a lower-case letter or any letter"
"~(((.*)(.)){2,})",not ending with a character at least 2 times
([A-Za-z].*[A-Z].*)+,lines with letter before a capital letter
(\b.*dog.*\b)(.*),lines starting with words and having the string 'dog'
~((dog).*(truck.*[A-Za-z].*).*),lines not having string 'dog' before string 'truck' followed by letter
\b([a-z]).*(.*[0-9].*).*\b,lines with words a lower-case letter before containing a number
(([AEIOUaeiou])|([A-Za-z])).*(.).*,lines with a vowel or letter before a character
\b(.*dog.*)|(.)\b,lines that contain 'dog' or a character
(([AEIOUaeiou])&([a-z])&(dog)).*(.).*,"lines with a vowel, lower-case letter, and string 'dog' before a character"
(([AEIOUaeiou])|([A-Z])).*(.).*,Lines with a vowel or a capital before any character
(\b([AEIOUaeiou])&(dog)\b)*,lines with words and zero or more of a vowel and string 'dog'
~(([AEIOUaeiou])|(.)|([A-Z])),"lines without a vowel, character, or capital letter"
.*(dog).*(truck).*.*,lines that contain only 'dog' followed by 'truck'
~((.*)(([A-Z])|(dog))),lines ending with a capital letter or the string 'dog'
(([A-Za-z])|(.)).*([0-9]).*,Items with a character or a letter preceding a numeral.
"([0-9]).*((.){6,}).*",Items with a numeral preceding a character at least six times.
((dog).*([0-9]).*)|((.*)([AEIOUaeiou])),lines with the string 'dog' before a number or which are ending with a vowel
\b~((dog)+)\b,Items with words that don't have 'dog'.
(([A-Z])&(dog)&([A-Za-z])).*(truck).*,"lines having a capital , the string 'dog', and a letter before the string 'truck'"
([AEIOUaeiou]).*(.*[A-Z].*).*,Lines containing a vowel before a capital letter
((.*)(.))&((dog)|([A-Z])),lines which are ending with a character and the string 'dog' or a capital letter
"(((.).*([0-9]).*)|(dog)){3,}",lines having a character before a number or string 'dog' at least 3 times
\b([A-Za-z])&([A-Z])&(dog)\b,lines with words and a letter and string 'dog'
(([0-9])|([A-Z]))*,"These lines can have a number and a capital letter, but they don't have to."
"(.).*(([AEIOUaeiou]){5,}).*",lines with 5 or more of a character before vowel
\b(.)&((.*)([A-Za-z]))\b,lines with words with a character ending in letter
(([AEIOUaeiou]).*([a-z]).*)&([0-9].*..*),Lines containing a lower case letter after a vowel and a character before a number
"(([a-z]){5,})(.*)",Items with a small letter at least 5 times.
(([A-Z])&([AEIOUaeiou])&([A-Za-z])).*(dog).*,"lines containing a capital letter, a vowel, and a letter preceding the string 'dog'"
\b([A-Z])&([0-9])\b,A capital letter and a number in a line
(([AEIOUaeiou])|([a-z]))+,Items with a small letter or vowel at least one time.
~(([A-Z])&(dog)&([A-Za-z])),"Lines that do not include capital letters or the string 'dog,' and that are not letters"
~(([A-Z])&(dog)&([A-Za-z])),"lines without a capital letter, string 'dog', or letter"
.*([AEIOUaeiou])&([A-Z]).*,lines which are containing a vowel and a capital letter
([A-Z]).*(([0-9])*).*,lines with a number after a capital letter at least zero times
(.*)((~(dog))|([a-z])),lines ending with 'dog' or lower-case
((.)*)|(~(dog)),"lines with a character, with any amount not being the string 'dog'"
(([AEIOUaeiou])|((.*)(dog)))*,"lines with a vowel or ending with string 'dog', zero or more times"
~(([a-z])&([A-Za-z])),lines not having lower-case letter and not a letter
"(([A-Z]){2,}).*(.).*","lines with a capital letter, 2 or more times before a character in them"
(.*[AEIOUaeiou].*).*(dog).*,lines containing containing only vowel before string 'dog'
(\bdog.*[A-Za-z].*\b)(.*),lines starting with words with string 'dog' before a letter
(.*(dog)|([A-Z]).*).*([AEIOUaeiou]).*,lines with either the string 'dog' or a capital letter before a vowel
~(([0-9])|([A-Za-z])),lines which are not containing only a number or a letter
(dog).*((.)&([A-Za-z])&(truck)).*,"Items with 'dog' preceding a lettter, a character and ""truck'."
(dog).*((.)&([A-Za-z])&(truck)).*,"lines with the string 'dog' before a character, letter, and string 'truck'"
([a-z]).*(([A-Za-z])|(dog)|(truck)).*,"lines with a lower-case letter followed by either a letter, the string 'dog', or the string 'truck'"
.*((.*)(dog))&([a-z]).*,lines containing ending with string 'dog' and lower-case letter
\b([0-9])&([A-Z])&(.)\b,"lines with words and a number, capital letter, and character"
([A-Za-z].*dog.*)|(([a-z])&([A-Z])),The lines that have a letter coming before either the string 'dog' or a lower-case and a capital letter
\b([a-z])|(dog)|(.)\b,"lines containing a lower-case letter, the string 'dog', or a character"
"((.){7,})&(~([a-z]))","lines with character, 7 or more times and not  lower-case letter"
.*([0-9])&(.)&(dog).*,"lines containing a number, character, and string 'dog'"
"((dog)|((.).*([A-Za-z]).*)){2,}","lines with string 'dog' or character before letter, 2 or more times"
.*(.)|([A-Z])|([A-Za-z]).*,"lines containing either character, a capital, or a letter"
(\b~(.)\b)*,lines with words without zero or more characters
~((dog.*truck.*)|(ring)),lines which are not having the string 'dog' followed by the string 'truck' or the string 'ring
~((dog.*truck.*)|(ring)),lines without the string 'dog' before the string 'truck' or the string 'ring'
((dog)|([A-Z])|(truck)).*([A-Za-z]).*,"lines that have either 'dog', a capital letter, or 'truck' followed by a letter"
(([0-9])&(.)&([A-Za-z])).*(dog).*,"lines with a number, character, and letter before string 'dog'"
.*(~(dog))&(.).*,lines without the string 'dog' and a character
(([A-Z])&(dog)&(truck)).*(.).*,lines with a capital letter and string 'dog' and 'truck' before a character
(([A-Z])&(dog)&(truck)).*(.).*,"Before a character lines having a capital letter, the string 'dog, and the string 'truck'."
\b([0-9])&(dog)&([a-z])\b,"lines containing words with a number, a lowercase letter and the string 'dog'"
((.*)(.*dog.*))*,lines ending with or without the string 'dog'
((.*)(.*dog.*))*,lines that end with dog or zero
(([AEIOUaeiou])*).*(.).*,Determine lines that contain at least one vowel before a character
~([A-Z].*[A-Za-z].*),Lines without a capital letter followed by a letter
([A-Za-z]).*(\b.*dog.*\b).*,lines with a letter before words with string 'dog'
([A-Za-z]).*(\b.*dog.*\b).*,lines with a letter before words that contain the string 'dog in them
\b(.*)([A-Z].*[AEIOUaeiou].*)\b,lines with words with ending with a capital letter which is followed by a vowel
([A-Za-z].*dog.*).*((truck)&([AEIOUaeiou])).*,lines with a letter before the strings 'dog' before 'truck' and a vowel
"(([0-9])|((dog)&(.))){4,}","lines with a number or the string 'dog' and a character, 4 or more times in them"
([AEIOUaeiou].*..*)&((.*)([0-9])),lines with a vowel before a character ending in number
"([A-Za-z].*dog.*){2,}","lines with letter followed by string 'dog', 2 or more times"
~(\b[AEIOUaeiou]\b),lines without words and only a vowel
(\b([0-9])&([AEIOUaeiou])\b)*,lines with words and numbers with a vowels
((dog)*)&(([a-z]).*(truck).*),lines with zero or more of the string 'dog' with a lower-case letter before string 'truck'
